user_question_title,user_question_body
hw3 grade,"<p>-3 A blank text file was submitted in lieu of code or diagrams. -0.5 features and dimensions of X not listed or incorrect. Most of questionnaire is blank. -1</p>
<p></p>
<p>I understand the last two deductions, but I am having trouble understanding where the -3 points came from.</p>
<p></p>
<ul><li>1 points - Create a rule based classifier</li><li>1 points - Create a decision tree and a decision tree diagram</li><li>1 points - Implement a statistical unigram model</li></ul>
<p></p>
<p>The rule based classifier is in the code under than method.</p>
<p>The decision tree and diagram is submitted as decision-tree.png and rule-based-tree.png</p>
<p>The unigram is implemented in get_features()</p>"
part 2 step 5,I have generated classified_predictions but the number of lines is not the same as in articles as thy say it should in part 5. Urls.txt and classified_predictions do have the same number of lines. Im not sure whats wrong?
Confirming: separate late day policy for the final group project?,<p></p>
Peer Grading Assignment,"<p>Hi Everyone!</p>
<p></p>
<p>We just sent everyone emails about your peer grading assignment. You are required to watch 3 videos and fill out a questionnaire for each video. You&#39;ll also be asked to rank the three videos in a separate questionnaire.</p>
<p>All the information you need is in that email. The email was sent from &#34;nets213&#64;seas.upenn.edu&#34;. Please check your spam in case you don&#39;t find the email in your inbox.</p>
<p></p>"
get_clean_text.py runtime,"<p>I&#39;m not sure why, but when I feed get_clean_text.py my list of urls, it&#39;s taking a really long time to run. My list of URLs isn&#39;t that long - about 2500 - so I don&#39;t know why it&#39;s taking so long? (Like, it&#39;s never finished...)</p>
<p></p>
<p>Thanks!</p>"
HIT #1 (bad design) clarification,"<p>The example of the HIT posted on the assignment shows not just the URL and text, but also the date published and title of the article. But the instructions of the assignment say to use the URL and text file we made as the data for this HIT (which does not contain published date or title). Thus, do we not need to copy the demo exactly and ignore the extraction of the date and title? I am assuming that those details are not even needed until the 2nd HIT we design.</p>"
Video submission,"<p>I created a Powerpoint and recorded my voice to go along with it, but for some reason, when I export it as a .mov it gets corrupted and doesn&#39;t play the audio. I think it may be my inclusion of embedded screen recordings within the powerpoint itself, but I&#39;ve been unable to find a solution. Would you accept a Dropbox or Drive link to the powerpoint and when you click &#34;Start Presentation,&#34; it&#39;ll run on its own accord with audio and all? Thanks!</p>"
CrowdFlower &#34;sample.txt&#34; Clarification,"<p>Based on the instructions, the sample.txt file that we upload to CloudFlower should contain 500 positively labelled articles. In the screenshot at step 4 however the urls have a mix of both 0 and 1 labels. Which one is correct? And more generally, why are we having only the positive articles being labelled by crowdworkers?</p>"
Rejected HITS,"<p>If we had HITS rejected after we completed them, how do we see the requester&#39;s reason?</p>"
Failures on MTurk,"<p>When our group tried to upload HITs to the MTurk sandbox, we saw that we got a couple of failures. The number of failures went down after a little while, but we still ended up with a couple with the error as &#34;throttled&#34;. Is this normal behavior for the sandbox? I.e. do we need to worry about this when we actually upload our HITs (not to the sandbox)?</p>"
Slight typo in homework assignment,"In Part 1: Crawling the Web, step 1 has a code fragment that reads:

 $ tar -xzvf asssignment5.tgz 

This should read:

tar -xzvf assignment5.tgz"
&#34;dot command not found&#34;,"<p>I am an OS X user, and have graphviz installed. However after uncommenting the decision tree, I&#39;m getting the error &#34;sh: dot command not found&#34;. Is there anything that I can do about this?</p>"
Welcome to Piazza!,"
Piazza is a Q&A platform designed to get you great answers from classmates and instructors fast. We've put together this list of tips you might find handy as you get started:

1.  <b>Ask questions!</b>

The best way to get answers is to ask questions! Ask questions on Piazza rather than emailing your teaching staff so everyone can benefit from the response (and so you can get answers from classmates who are up as late as you are).

2.  <b>Edit questions and answers wiki-style.</b>

Think of Piazza as a Q&A wiki for your class. Every question has just a single <b>students' answer</b> that students can edit collectively (and a single <b>instructors’ answer</b> for instructors).

3.  <b>Add a followup to comment or ask further questions.</b>

To comment on or ask further questions about a post, start a <b>followup discussion</b>. Mark it resolved when the issue has been addressed, and add any relevant information back into the Q&A above.

4.  <b>Go anonymous.</b>

Shy? No problem. You can always opt to post or edit anonymously.

5.  <b>Tag your posts.</b>

It's far more convenient to find all posts about your Homework 3 or Midterm 1 when the posts are tagged. Type a “#” before a key word to tag. Click a blue tag in a post or the question feed to filter for all posts that share that tag.

6.  <b>Format code and equations.</b>

Adding a code snippet? Click the <b>pre</b> or <b>tt</b> button in the question editor to add pre-formatted or inline teletype text. 
Mathematical equation? Click the <b>Fx</b> button to access the LaTeX editor to build a nicely formatted equation.

7.  <b>View and download class details and resources.</b>

Click the <b>Course Page</b> button in your top bar to access the class syllabus, staff contact information, office hours details, and course resources—all in one place!


Contact the Piazza Team anytime with questions or comments at <b>team@piazza.com</b>. We love feedback!"
TODO: Register as a Mechanical Turk worker,"<p></p><div>Please register to be a worker on Amazon Mechanical Turk TODAY at <a href=""https://www.mturk.com/mturk/welcome"">https://www.mturk.com/mturk/welcome</a> </div>
<div>You will need an account to for the <a href=""http://crowdsourcing-class.org/assignment1.html"" target=""_blank"">first homework assignment</a>.  We will be doing a walk through on Friday, and it would be great if you have your account activated by then.  Typically it takes Amazon several days to activate workers accounts, so please create yours ASAP.</div>
<div></div>
<div>Note that all foreign students, and some domestic students had problems creating Mechanical Turk accounts last year.  If you have a problem, please try to sign up to be a Crowd Flower worker (also called a &#34;contributor&#34;). You can sign up here: <a href=""https://elite.crowdflower.com/?view=register"">https://elite.crowdflower.com/?view=register</a><a href=""https://elite.crowdflower.com/?view=register"" target=""_blank""></a></div>
<div></div>
<div>--CCB</div>"
Statistical Analysis Taking A Very Long Time,"<p>Hi, so I read though the other piazza post about how the statistical analysis takes a long time, but I am still having some trouble with my code.</p>
<p></p>
<p>I have already tried waiting 10-15 minutes and removing all stopwords, but for some reason the statistical analysis refuses to complete in a reasonable amount of time</p>
<p></p>
<p>Below is my code:</p>
<pre>def isStopWord(word):
	with open(&#39;stopwords.txt&#39;, &#39;r&#39;) as stopwords:
		for line in stopwords:
			if word in line:
				return True
		return False

def get_features(X) : 
	features = []
	for x in X : 
		f = {}
		#TODO replace this dummy feature function with a unigram model, like we did in class
		for word in x.split():
			if isStopWord(word):
				continue
			if word in f:
				f[word] = f[word] &#43; 1.0
			else:
				f[word] =  1.0
		features.append(f)
	return features</pre>
<p>Not really sure what to do at this point because of this. Also might this be related to using the VM?</p>"
Something interesting I found when resetting my Snapchat password,"<p>Today, I reset my Snapchat password and discovered something very interesting. Instead of doing the traditional &#34;type the letters you see in the box below&#34; CAPTCHA, Snapchat&#39;s equivalent was asking me &#34;Which of the following are pictures of mountains?&#34; and displaying 9 images above that text, some of which were mountains and some of which were not. Now, I assume that they knew that some of those were definitely mountains (&#34;gold labels&#34;) but, correct me if I&#39;m wrong, I believe they were using me to help label their images for free, and I, as the &#34;contributor,&#34; did not have much choice since I forgot my password. Genius!</p>"
Is anyone else having issues accessing Graphviz website?,"<p>RESOLVED:</p>
<p></p>
<p>CCB had this answer in response to the &#34;dot command not found&#34; post:</p>
<p></p>
<blockquote>
<p>I believe that those packages are just for outputting things to graphviz format from python.  You also need to install graphviz itself by downloading it <a href=""http://graphviz.org/Download.php"" target=""_blank"">here</a>.</p>
<p></p>
</blockquote>"
Class Attendance Today,"<p>Hi,</p>
<p></p>
<p>I emailed the course staff, but I&#39;m not sure if my email went through. I just wanted to write to you to let you know what I woke up with a stomach bug today and so I don&#39;t think I will be able to attend class. If there is attendance taken in class, will I be excused from it?</p>
<p></p>
<p>Best,</p>
<p>Ben</p>"
Al Filries&#39; lecture,"<p>If you&#39;d like to discuss Al Filries&#39; lecture about MOOC&#39;s, let&#39;s use this discussion thread.</p>
<p></p>
<p>Here&#39;s a link to his <a href=""https://www.coursera.org/course/modernpoetry"" target=""_blank"">ModPo Coursera course</a>.</p>
<p></p>"
Looking for Partner for HWs,"<p>Hello,</p>
<p></p>
<p>My name is Arjun Sastry and I&#39;m a junior in Wharton. I&#39;m looking for someone to work on the homeworks with. Please let me know ASAP if you would like to work together! My email is <a href=""mailto:sastrya&#64;wharton.upenn.edu"">sastrya&#64;wharton.upenn.edu</a>. Thanks for your consideration.</p>
<p></p>
<p></p>"
Fixing Worker&#39;s accuracy,"<p>I just realized that, for some of my test questions, a lot of workers complained that the answers I gave were wrong or lacked concrete instructions. Some of them asked me to &#34;make corrections&#34; to the test questions and &#34;fix their accuracy&#34;. How would I go about doing this? </p>
<p></p>
<p>Looking back, maybe my answers to the test questions were incorrect.</p>"
Resubmission of Questionnaire,"<p>Hi, </p>
<p></p>
<p>I resubmitted my questionnaire and just wanted to make sure that the correct information was recorded. The second, more recent submission should be considered. </p>
<p></p>
<p>Thanks,</p>
<p>Sarah Tang</p>
<p>PennKey: sartang</p>"
Crowdsourcing used to evaluate success of poetry-generating robot,"<p></p><p>Here&#39;s a cool example of the interaction between crowdsourcing and machine learning, applied to poetry:</p>
<p><a href=""http://motherboard.vice.com/read/how-machines-write-poetry"">http://motherboard.vice.com/read/how-machines-write-poetry</a><a href=""http://motherboard.vice.com/read/how-machines-write-poetry""></a></p>
<p></p>
<p>&#34;For an objective assessment of her program’s work, Harmon recruited subjects from Amazon Mechanical Turk. In a pilot study, people read FIGURE8’s more complex sentences. But the task seemed to wear them out. “It became more of an English assignment,” she says. So for the <a href=""http://axon.cs.byu.edu/ICCC2015proceedings/4.1Harmon.pdf"">study</a> she presented at this year’s International Conference on Computational Creativity, Harmon restricted her program to simple sentences that fit certain patterns. It wasn’t FIGURE8’s most thrilling writing, but these shorter phrases would be easier for subjects to compare.</p>
<p></p>
<p>Each person read sets of five FIGURE8 sentences at a time. People ranked the similes for their clarity, as well as how enjoyable they were to read. Harmon then compared those ratings to scores the computer program had given itself for clarity and overall quality. Harmon found that her subjects’ ratings were pretty close to how FIGURE8 rated itself. For example, humans and computer agreed that <em>The queen stands like a strong castle</em> was a good, clear simile. But they also agreed that <em>It was her pearl, crumpling like a drowned corpse </em>didn’t make much sense.&#34;</p>"
Participation,"<p>Hi, so over the weekend I got a concussion and I am not supposed to be leaving my dorm to go to class these next few days, but I&#39;ve been following along today online with the firearm violence lecture notes. I just received the email that we would be getting participation codes for attending today&#39;s lecture. Obviously, I would have liked to be there if I could but is there anyway I could get one of those codes for following along online? I could send a picture of the doctor&#39;s note stating that I got a concussion if you need proof about that.</p>
<p></p>
<p>Thanks and sorry for the inconvenience,</p>
<p></p>
<p>Aspyn Palatnick</p>"
Questions 9 &amp; 10: Red and White reviews,<p>What exactly is meant by the words in the &#34;red&#34; reviews that DO NOT appear in the &#34;white&#34; reviews? Does this mean we should not count a word that appears in a red review and at least one white review? Or is this simply a check for reviews that have both &#34;red&#34; and &#34;white&#34; in them (and thus we can&#39;t classify the words as either red or white)? </p>
Grades Released for Homework 1: Becoming a Crowdworker,"<p>Hi everyone,</p>
<p></p>
<p>Grades for the first assignment have been emailed to your Penn email addresses. If you did not receive an email with your grade (and have checked your spam folder), please reach out to me immediately so we can resolve it. Overall, we were very happy with your participation and takeaways from your experience as crowdworkers. You can expect your grades for the second assignment very soon as well, and we encourage you to incorporate any feedback on your company profile into the video (Ellie&#39;s post on takeaways for the entire course will also be helpful for this). </p>
<p></p>
<p>If you have questions about your grade, please don&#39;t respond directly to the score email. You&#39;ll get a much better response time if you post privately to Piazza or email the entire teaching staff at <a href=""mailto:nets213&#64;googlegroups.com"">nets213-staff&#64;googlegroups.com</a>. </p>
<p></p>
<p>We&#39;ll be getting the next few assignments out to you as soon as possible so that you can assess how the class is going. One upcoming date to be aware of is the drop deadline on February 19th. If you are concerned about how you are doing at any point, please talk to a member of the teaching staff. </p>"
Tips & Tricks for a successful class,"<script type=""text/javascript"">PA.load(""/dashboard/tips_tricks"", null, function(data){ $('#' + 'questionText').html(data);});</script>"
Tips for Building Web Apps,<p>Could you provide some resources for learning how to build web apps from scratch? </p>
kappa.py,"<p>It seems that my crowdflower_labels has 500 labels of yes only</p>
<p>and my majority_vote_labels has 499 labels of yes and 1 label of no</p>
<p></p>
<p>So I have Pa=499/500</p>
<p>Pe = 499/500 * 500/500 &#43; 1/500 * 0/500 = 499/500</p>
<p></p>
<p>k = (Pa-Pe)/(1-Pe) = (499/500-499/500)/(1-Pe) = 0</p>
<p></p>
<p>Does this seem correct?</p>
<p>It doesn&#39;t seem to agree at all if it&#39;s 0 but then again, it agrees on 499/500 instances </p>
<p></p>
<p>I also got 0 from both manual computation and running the script kappa.py</p>
<p></p>"
statistical classification runtime,It takes a really long time. Is that expected?
sharing crowdflower,<p>My crowdflower account doesn&#39;t have any funds yet — is it possible to share accounts just for this assignment?</p>
No More Contributors in CrowdFlower,No one has completed my request in the last 5 hours and it is still only 20% completed. Is there any possible way to update my task such that it becomes more popular to contributors?
Submitting Video Presentation,"<p>How should we submit the link to our video presentation on Vimeo? Should we email the link to the Professor, or will a survey be posted for submission?</p>"
Syntax Error,"<p>So Im just trying to run the script, but Im getting a syntax error:</p>
<p></p>
<p>&gt; python classifier_template.py articles                                                                                               ~/Desktop/NETS213/HW4 </p>
<p>  File &#34;classifier_template.py&#34;, line 89</p>
<p>    print &#39;Fold %d : %.05f&#39; %(i,test_acc)</p>
<p>                          ^</p>
<p>SyntaxError: invalid syntax</p>
<p></p>
<p>I havent modified the script at all. Do you know what the problem is?</p>"
HW 7 Data,"<p>If we weren&#39;t able to complete homework #5 and thus have no data for that assignment, what files should we use for homework #7?</p>"
Crowdflower Account not showing profile,"<p>I signed up as a Crowdflower contributor and am getting the following when I try logging in :</p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/h6qp7g2z4z2p4/ikhcaiapj55k/Screen_Shot_20160210_at_4.18.25_PM.png"" /></p>
<p></p>
<p>Is there something I did wrong when signing up?</p>"
Python Bootcamp code from class today,"<p>Hi Everyone!</p>
<p></p>
<p>Sorry class got so rushed-- I was hoping to walk through more of the bootcamp. Hopefully you were able to get a good start. We have back to back office hours now and office hours from noon until 8 tomorrow, so come get help early! </p>
<p></p>
<p>Attached is the iPython notebook from class today, which takes care of question 1 for you. The relevant code is also below. You should be able to recycle it in some shape or form for most of the other questions in the assignment. </p>
<p></p>
<pre>#This line reads in full text of the file, the splits it up using the newline character (&#39;\n&#39;)
#The return value (stored in wine) is a list of strings, each one corresponding to a line in the file
#Fun fact: This is the same as calling open(&#39;data/wine.txt&#39;).read().split(&#39;\n&#39;)
wine = open(&#39;data/wine.txt&#39;).readlines()

ratings = {} #dictionary keep track of how many times each star value is seen
for line in wine:
    review_and_rating = line.strip().split(&#39;\t&#39;) #split each line into two strings, using the tab character
    stars = review_and_rating[1]
    if stars not in ratings: #check if the key is in the dictionary. If not, add it and give it a count of 0
        print(&#34;adding&#34;, stars, &#34;to ratings&#34;)
        ratings[stars] = 0
    ratings[stars] &#43;= 1 #increment the count by 1
    
for key in ratings:
    print(key, &#34;appeared&#34;, ratings[key], &#34;times&#34;)</pre>
<p>Please ask questions!</p>
<p></p>
<p><a href=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/h6sr8zhfyuw71v/ijxaiooi4tz/IPythonBootcamp.ipynb"" target=""_blank"">IPythonBootcamp.ipynb</a></p>"
last chance to sign up for CrowdFlower credits,"<p>Reminder: if you don&#39;t sign up for CrowdFlower credits WITHIN THE NEXT HOUR, then you will have to fund your account yourself. </p>
<p></p>
<p>See details below. </p>
<p></p>
<p>--CCB</p>
<p></p>
<p>------</p>
<p></p>
<p>If you would like ~$100 of free Credit on CrowdFlower, please sign up for a CrowdFlower Customer (aka Requester) now.  You may have already completed this step as part of HW1.  If not, then please sign up here: https://make.crowdflower.com/users/new</p>
<div></div>
<div>Once that is done, please fill out this Google form before class on Wednesday: </div>
<div>https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform</div>
<div></div>
<div>If you do not submit the Google form before Wednesday at 2pm, then you will not receive the free credit from CrowdFlower, and you will have to fund your account with your own money.</div>
<div></div>
<div>—Chris</div>
<div></div>
<div><br /></div>
<p></p>"
Peer Review Assignments Sent,"<p>Hi everyone, </p>
<p></p>
<p>You should have just received your assignments for peer reviewing project pitches. You will be reviewing the ideas from two teams (3 ideas per team) and filling out the form <a href=""http://goo.gl/forms/JaChvLRd0x"" target=""_blank"">here</a>. The deadline is next Friday, March 25th, before lecture - it&#39;s critical that you submit your feedback prior to then so that we can turn it around and give you ample time to select or modify your idea before starting implementation. </p>
<p></p>
<p>If you didn&#39;t receive an email, the details are unclear or incorrect, or there are any other problems, let us know as soon as possible. </p>
<p></p>
<p>Have a great weekend!</p>"
Image datasets?,"<p>I&#39;m working on the current homework. My group would like to do the experiment &#34;Financial Incentives and the Performance of Crowds&#34;, but we need a large dataset of images. Do you have any suggestions for where we could get such a dataset?</p>"
Wednesday&#39;s Class,<p>Hello! Just curious: is there any benefit in coming to class tomorrow if you already have a full team? Or is the team-matchmaking the only activity planned for tomorrow?</p>
Cool talk tomorrow - Crowdsourcing Smartly: Is Democracy Prepared to Flip the Big Data Switch?,"<p>There&#39;s a really interesting talk tomorrow - I&#39;d encourage you to attend if you&#39;re able! </p>
<p></p>
<p>Thursday, January 14 / 4:30 pm</p>
<p>Silverstein Forum, <a href=""http://r20.rs6.net/tn.jsp?e=001Puy3leQzK8vWoM8U1csQlLAy0mPhhaiPvj8Asc7VkT6KnFZhDMcE4-Xe70zILFf5plZ8rypY260Bm-x1gKu8YizCbfe9eu3a6iizInfFrmK_R-iNNK7JJ7Z2cc1J9U7ftqY4FKH3hXE="">Stiteler Hall</a></p>
<p>University of Pennsylvania Campus</p>
<p><em> </em></p>
<p>Abstract: </p>
<p>IMAGINE IF GOVERNMENT COULD QUICKLY GET ADVICE from infectious disease experts in the event of a pandemic, or find and reach out to cyber-security professionals following an infrastructure attack, or pose questions about our public challenges to data scientists. From combatting terrorism to safeguarding the future of the planet, society will confront unprecedented challenges over the next decades. To succeed, Noveck argues, we have to run our institutions differently. Getting ideas from outside - often called crowdsourcing or open innovation - should be just as vital for the improvement of public institutions as it has been for success in commerce and science. Data science tools hold the potential to transform how we govern by making it possible to solve hard problems through the diverse and distributed expertise of the many citizens who would be willing to contribute their talents, skills, expertise and enthusiasm to the public good.</p>
<p> </p>
<p>Excerpt: &#34;Changing how we make decisions will depend squarely on having the personnel who embrace openness and collaboration. The recognition of citizen expertise does not mean jettisoning the professionals and substituting some kind of web-based plebiscite-far from it. Making good use of citizen expertise will require even better-trained managers and leaders. This new breed of professional-if we can call it that with a wink and a nod-will need to know how to work and talk and decide with citizens rather than for them. Just as the next generation will need to know how to govern with big and open data, predictive analytics, and real-time indicators, they will also need to develop the skillset for managing the conversation to get at the intelligence necessary to govern in a complex society.&#34; - From <em>Smart Citizens, Smarter State</em></p>"
Crowdflower question creation,"<p>I&#39;m having an issue in the last part of the assignment creating the questions that require information from the spreadsheet. For example, for the question &#34;In what city did the incident take place?&#34; I am trying to add {{city_1}} as an option in the question so that the information from the spreadsheet will populate that field, but I get this error: &#34;&#39;{{city_1}}&#39; will show up in your results as &#39;city_1&#39;, which already exists as a header in your uploaded data.&#34; How can I achieve what is supposed to happen, instead of getting this error?</p>
<p></p>
<p>Thanks!</p>"
No Grade Email Received for Classifier Homework,"<p>Hi,<br /><br />I didn&#39;t receive an email with my grade for the classifier homework. (The only grades email I have received was that of Homework 1)<br /><br />My pennkey is erdardet<br /><br />Thanks for your help,<br />Eric Dardet</p>"
Change in Office Hours,"<p>I&#39;ll be flying out for an interview this Thursday so I can&#39;t hold 12-2 OH that day.</p>
<p>Instead I&#39;ll be in the 5th floor GRW bump space today from 6-8 if anyone has questions.</p>
<p></p>
<p>Sorry about the short notice.</p>
<p></p>
<p>-Jim</p>"
OH moved to Moore,"<p>Hey everyone, I&#39;m moving my office hours tonight to Moore 100 instead of the bump space.</p>"
